Fecha,Hora,Demanda,Pred. M1,Pred. M2,Pred. M3
2017-12-17,0,535.99,461.4375,541.4946048536558,540.8364757855528
2017-12-17,1,511.07,443.5859375,512.9459448949916,512.2631539537928
2017-12-17,2,497.04999999999995,433.6640625,496.31580075570366,495.22180255404
2017-12-17,3,489.69,430.2890625,489.2336959497904,487.7826226204743
2017-12-17,4,497.50999999999993,444.0,498.9659608338409,497.45579311181564
2017-12-17,5,513.38,476.4921875,526.0732127886035,525.0478730847805
2017-12-17,6,514.1500000000001,509.9140625,543.827942773884,543.0727463308214
2017-12-17,7,537.12,579.328125,582.4537029102071,581.7264227053917
2017-12-17,8,559.9100000000001,664.71875,624.008904497516,623.698572249506
2017-12-17,9,596.35,711.5546875,611.8061073622972,612.145543390086
2017-12-17,10,618.11,742.421875,632.866859590859,633.5855881528565
2017-12-17,11,633.0799999999999,760.0078125,641.8585919374827,642.7866169416509
2017-12-17,12,638.37,740.3125,619.7027039098042,620.6994938644943
2017-12-17,13,648.2,754.9140625,657.8692157885924,659.0134508483728
2017-12-17,14,657.94,766.5703125,665.0229057500699,666.8505465998139
2017-12-17,15,660.73,753.9609375,650.6025077362397,653.1102503058295
2017-12-17,16,661.1,708.015625,619.1875314848218,621.8561996997013
2017-12-17,17,705.7,667.78125,622.6297078261343,624.6945639577805
2017-12-17,18,815.57,728.8046875,763.670793624711,764.4600093477733
2017-12-17,19,819.0899999999999,752.7890625,833.7288167528175,834.3503355179896
2017-12-17,20,786.42,708.21875,769.8545688894532,770.9782555667217
2017-12-17,21,721.39,634.4453125,707.3037147412808,707.4818334481159
2017-12-17,22,638.24,552.703125,633.8128416684038,632.9861058933179
2017-12-17,23,579.95,496.1796875,575.9593159393572,577.182496112401
2017-12-18,0,550.33,601.171875,550.7038302365253,552.4253121565578
2017-12-18,1,528.18,583.3203125,537.3969224266967,539.8481278215495
2017-12-18,2,512.57,573.3984375,523.379380605,524.5276195495375
2017-12-18,3,515.49,570.0234375,514.7976232052349,514.7286680832381
2017-12-18,4,532.24,583.734375,534.2257551740644,533.5872755982945
2017-12-18,5,571.46,616.2265625,569.7555842754299,569.972956994269
2017-12-18,6,613.9100000000001,649.6484375,609.5335143024996,610.2874095082841
2017-12-18,7,712.21,719.0625,687.470922307849,687.9502645637233
